frame,time_s,v_cam_x,v_cam_y,v_cam_z,speed,p_rel_x,p_rel_y,p_rel_z,v_world_x_assume_identity,v_world_y_assume_identity,v_world_z_assume_identity,p_world_x_assume_identity,p_world_y_assume_identity,p_world_z_assume_identity
700,0.0,0.07209054072427516,-0.23259672136187967,-0.8193747885947807,0.8547943173857415,0.0,0.0,0.0,0.07209054072427516,-0.23259672136187967,-0.8193747885947807,0.0,0.0,0.0
701,0.033332999999999995,-0.28680945997330204,-0.20337823602400462,3.4804694998496633,3.498183859176384,-0.009560219729290075,-0.006779206741388144,0.1160144898384888,-0.28680945997330204,-0.20337823602400462,3.4804694998496633,-0.009560219729290075,-0.006779206741388144,0.1160144898384888
702,0.06666599999999999,-0.7633984681796083,0.5822208097851886,3.0343739048113063,3.182637787553857,-0.03500658086912095,0.012627959511181546,0.21715927520756406,-0.7633984681796083,0.5822208097851886,3.0343739048113063,-0.03500658086912095,0.012627959511181546,0.21715927520756406
703,0.09999899999999999,-0.8918022597970994,0.34186380938711963,-0.20571258085577265,0.9769850565235012,-0.06473302559493767,0.024023305869482404,0.21030225774989858,-0.8918022597970994,0.34186380938711963,-0.20571258085577265,-0.06473302559493767,0.024023305869482404,0.21030225774989858
704,0.133332,0.8682291139238543,0.33334442670622055,1.660227647215765,1.9029703470261157,-0.03579234454051382,0.03513467564488086,0.26564262591454174,0.8682291139238543,0.33334442670622055,1.660227647215765,-0.03579234454051382,0.03513467564488086,0.26564262591454174
705,0.16666499999999998,0.9768429921825227,-0.6184744033253199,-0.8921553617299434,1.460367764779886,-0.0032312370820938158,0.014519068358837987,0.23590441124199757,0.9768429921825227,-0.6184744033253199,-0.8921553617299434,-0.0032312370820938158,0.014519068358837987,0.23590441124199757
706,0.19999799999999998,-0.08714951140128402,0.6014516732636536,-3.0276333105459226,3.0880256824930057,-0.006136191745632816,0.034567256983735355,0.1349843101015703,-0.08714951140128402,0.6014516732636536,-3.0276333105459226,-0.006136191745632816,0.034567256983735355,0.1349843101015703
707,0.23333099999999998,0.2326092547243574,-0.04661451001084852,-1.331368846163742,1.3523398176724466,0.0016173725420941896,0.033013455521543736,0.0906057923523943,0.2326092547243574,-0.04661451001084852,-1.331368846163742,0.0016173725420941896,0.033013455521543736,0.0906057923523943
708,0.266664,0.5386082188320162,-0.5768519273487429,-2.5039508533939414,2.625381274346948,0.019570800300421798,0.013785250227228072,0.007141598556213977,0.5386082188320162,-0.5768519273487429,-2.5039508533939414,0.019570800300421798,0.013785250227228072,0.007141598556213977
709,0.29999699999999996,0.36720868228932396,0.6679702694594126,-1.0685096819869515,1.3125316901813069,0.03181096730717181,0.036050703219118636,-0.028475034673457023,0.36720868228932396,0.6679702694594126,-1.0685096819869515,0.03181096730717181,0.036050703219118636,-0.028475034673457023
710,0.33333,0.44854432852364157,-0.6619558654544089,-2.149092510758612,2.2930277369144436,0.046762295409850385,0.013985728355926787,-0.10011073533457397,0.44854432852364157,-0.6619558654544089,-2.149092510758612,0.046762295409850385,0.013985728355926787,-0.10011073533457397
711,0.36666299999999996,-0.37118260030234573,-0.2163841777220658,-3.061920494126115,3.0919178105967142,0.03438966579397232,0.00677299455991718,-0.2021737311652796,-0.37118260030234573,-0.2163841777220658,-3.061920494126115,0.03438966579397232,0.00677299455991718,-0.2021737311652796
712,0.399996,0.6324011733846815,-1.37763538480739,-1.6052382951076278,2.2078497416381784,0.05546949410640394,-0.03914772572186762,-0.25568113925610225,0.6324011733846815,-1.37763538480739,-1.6052382951076278,0.05546949410640394,-0.03914772572186762,-0.25568113925610225
713,0.43332899999999996,-0.37654608550990193,-0.9704701953842407,1.6322238578554678,1.9359116913729673,0.042918083438102404,-0.07149640874461048,-0.20127422140220602,-0.37654608550990193,-0.9704701953842407,1.6322238578554678,0.042918083438102404,-0.07149640874461048,-0.20127422140220602
714,0.466662,-0.02097796179677256,0.05975163656915713,-0.07540627422756983,0.09847049886500499,0.042218825037530584,-0.06950470744285077,-0.20378773874103362,-0.02097796179677256,0.05975163656915713,-0.07540627422756983,0.042218825037530584,-0.06950470744285077,-0.20378773874103362
715,0.49999499999999997,0.20221220031951814,-0.38539888810369693,-1.7743822797957491,1.826979625437237,0.048959164310781074,-0.08235120858001128,-0.26293322327346524,0.20221220031951814,-0.38539888810369693,-1.7743822797957491,0.048959164310781074,-0.08235120858001128,-0.26293322327346524
716,0.5333279999999999,-0.6090192456941715,0.38305864551888247,-1.6752798131835507,1.8232391011584221,0.028658725794057288,-0.0695827147489304,-0.31877532528631247,-0.6090192456941715,0.38305864551888247,-1.6752798131835507,0.028658725794057288,-0.0695827147489304,-0.31877532528631247
717,0.566661,-0.00640124455435423,1.1454459054915833,0.8206864210691713,1.4091179865669883,0.028445353109327,-0.03140156638117937,-0.29141938481281376,-0.00640124455435423,1.1454459054915833,0.8206864210691713,0.028445353109327,-0.03140156638117937,-0.29141938481281376
718,0.5999939999999999,-0.15011423988015288,1.0096502586094425,-2.290975897923655,2.5080866202330427,0.023441595151401873,0.002253105689049119,-0.36778448441830286,-0.15011423988015288,1.0096502586094425,-2.290975897923655,0.023441595151401873,0.002253105689049119,-0.36778448441830286
719,0.633327,0.15551353127406667,0.8251245115187078,-2.4512355536567965,2.591055896237952,0.028625327689360346,0.029756981031502254,-0.449491519128345,0.15551353127406667,0.8251245115187078,-2.4512355536567965,0.028625327689360346,0.029756981031502254,-0.449491519128345
720,0.6666599999999999,0.2309931613581709,1.427272779293767,0.5335566931681113,1.5411515733151253,0.036325022736912245,0.07733226458370131,-0.4317064738749724,0.2309931613581709,1.427272779293767,0.5335566931681113,0.036325022736912245,0.07733226458370131,-0.4317064738749724
721,0.699993,0.17275692958924155,0.831608194957552,-0.32338384728964964,0.9088422631730522,0.042083529470910444,0.10505226054622144,-0.4424858276566783,0.17275692958924155,0.831608194957552,-0.32338384728964964,0.042083529470910444,0.10505226054622144,-0.4424858276566783
722,0.7333259999999999,0.02849673493662573,0.5378955156397792,-0.5640300273611513,0.7799189197682367,0.043033411136552985,0.12298193176904217,-0.46128664055870755,0.02849673493662573,0.5378955156397792,-0.5640300273611513,0.043033411136552985,0.12298193176904217,-0.46128664055870755
723,0.766659,0.29198127581376193,0.4626035059872655,-0.8167816957499838,0.9830500535017337,0.05276602300325313,0.1384018944341157,-0.4885124248231418,0.29198127581376193,0.4626035059872655,-0.8167816957499838,0.05276602300325313,0.1384018944341157,-0.4885124248231418
724,0.7999919999999999,0.024379651230834933,0.4066787305185943,-1.9069164428915464,1.9499518654111698,0.05357866991773055,0.151957716558492,-0.5520756706140455,0.024379651230834933,0.4066787305185943,-1.9069164428915464,0.05357866991773055,0.151957716558492,-0.5520756706140455
725,0.833325,0.35935089320175273,-0.05846735231504487,-1.8635314075394183,1.8987629664119412,0.06555691324082459,0.1500088243037746,-0.614192763021557,0.35935089320175273,-0.05846735231504487,-1.8635314075394183,0.06555691324082459,0.1500088243037746,-0.614192763021557
