frame,start_us,end_us,relative_start_us,relative_end_us,event_count,valid_motion_events,scale,is_observable,scale_valid_points,scale_input_points,denominator,residual_rmse,weighted_residual_rmse,pred_dir_x,pred_dir_y,pred_dir_z,translation_metric_x,translation_metric_y,translation_metric_z,uncertainty_mean,uncertainty_median,depth_mean,depth_median,elapsed_seconds
710,23666430,23699763,333330,366663,10317,10317,2.2930277369144436,True,4543,10317,0.6823404243267451,0.030185835196049535,0.030185835196049535,0.19561225592783912,-0.2886820140885522,-0.9372291822545215,0.44854432852364157,-0.6619558654544089,-2.149092510758612,2.140282142826408,1.7351655960083008,38.17739768886538,37.449642181396484,0.3056690590456128
711,23699763,23733096,366663,399996,10498,10498,3.0919178105967142,True,6630,10498,0.2569133022551018,0.040037614946127405,0.040037614946127405,-0.12004931018199004,-0.06998380648411814,-0.9902981520484143,-0.37118260030234573,-0.2163841777220658,-3.061920494126115,1.7478181904788288,1.4818180799484253,41.26028020742122,41.78152275085449,0.20639780396595597
712,23733096,23766429,399996,433329,10415,10415,2.2078497416381784,True,6899,10415,0.9519128732889018,0.03289851497882178,0.03289851497882178,0.28643306718605094,-0.623971531587254,-0.7270595751290593,0.6324011733846815,-1.37763538480739,-1.6052382951076278,2.1602744098185807,1.8885353803634644,46.155762841549276,42.50926208496094,0.29784422973170877
713,23766429,23799762,433329,466662,10284,10284,1.9359116913729673,True,4202,10284,0.6422484885529467,0.026625399029241412,0.026625399029241412,-0.19450581717465462,-0.5012987935892237,0.8431292941320365,-0.37654608550990193,-0.9704701953842407,1.6322238578554678,2.318235640827739,2.188845992088318,41.982793808168864,41.74216842651367,0.32294782903045416
714,23799762,23833095,466662,499995,10233,10233,0.09847049886500499,True,10233,10233,6.498360485453647,0.05038873788700419,0.05038873788700419,-0.21303803716264083,0.6067973378570604,-0.7657752839296714,-0.02097796179677256,0.05975163656915713,-0.07540627422756983,2.502345726078728,2.883270740509033,29.724483196795727,21.842756271362305,0.3537173210643232
715,23833095,23866428,499995,533328,10227,10227,1.826979625437237,True,407,10227,0.0436562934700167,0.0253773383684754,0.0253773383684754,0.1106811469068334,-0.2109486513896471,-0.9712107650707317,0.20221220031951814,-0.38539888810369693,-1.7743822797957491,2.220665608276492,2.0715034008026123,34.955437389697174,29.51864242553711,0.3052308978512883
716,23866428,23899761,533328,566661,10413,10413,1.823239101158422,True,3509,10413,0.8256749737211131,0.026912559820040385,0.026912559820040385,-0.33403147470110794,0.21009786663447277,-0.9188481160342639,-0.6090192456941715,0.38305864551888247,-1.6752798131835507,2.069918906651913,1.7122955322265625,33.91268315860635,29.786060333251953,0.25805731071159244
717,23899761,23933094,566661,599994,10517,10517,1.4091179865669883,True,8347,10517,2.146798010246943,0.04256070749828957,0.04256070749828957,-0.004542731421614751,0.8128814736654769,0.5824114296254351,-0.00640124455435423,1.1454459054915833,0.8206864210691713,1.9634289176026114,1.597670555114746,37.4715481165347,34.629207611083984,0.24371829722076654
718,23933094,23966427,599994,633327,10975,10975,2.5080866202330427,True,8397,10975,1.020987211394268,0.04493770392793302,0.04493770392793302,-0.059852095485442576,0.4025579700729229,-0.9134357160709523,-0.15011423988015288,1.0096502586094425,-2.290975897923655,1.5565812428320858,1.376994252204895,44.022335013734995,43.2566032409668,0.20214514806866646
719,23966427,23999760,633327,666660,10728,10728,2.591055896237952,True,8450,10728,0.7963348638852464,0.03760117408253584,0.03760117408253584,0.060019365656940896,0.31845106572796705,-0.9460373113574532,0.15551353127406667,0.8251245115187078,-2.4512355536567965,2.0486374817556423,1.6830823421478271,44.09809784956782,39.4505558013916,0.2624892652966082
720,23999760,24033093,666660,699993,10422,10422,1.541151573315125,True,6859,10422,2.578278452857056,0.03040611455083529,0.03040611455083529,0.14988348022158918,0.9261079857441535,0.34620650064855396,0.2309931613581709,1.427272779293767,0.5335566931681113,2.282425781088731,1.984865963459015,37.38120330681706,32.213016510009766,0.29376690182834864
721,24033093,24066426,699993,733326,10598,10598,0.9088422631730522,True,7377,10598,4.0236244588725745,0.03725542484290828,0.03725542484290828,0.19008461268673826,0.9150192818399568,-0.3558195524043884,0.17275692958924155,0.831608194957552,-0.32338384728964964,1.9955869078360937,1.6441835761070251,36.68974565609285,32.70023155212402,0.25940450001508
722,24066426,24099759,733326,766659,10636,10636,0.7799189197682368,True,8076,10636,3.782845412424451,0.04417728366335486,0.04417728366335486,0.036538073656462326,0.6896813271287074,-0.723190594642154,0.02849673493662573,0.5378955156397792,-0.5640300273611513,1.7729126505754942,1.4863015413284302,31.94494849571208,28.196828842163086,0.21769431000575423
723,24099759,24133092,766659,799992,10852,10852,0.9830500535017337,True,7463,10852,2.1622075232618068,0.046470526267911386,0.046470526267911386,0.2970156756236508,0.47057980856387904,-0.8308648098207204,0.29198127581376193,0.4626035059872655,-0.8167816957499838,1.5483718844682257,1.4178805947303772,35.03866702562058,29.70578098297119,0.19296087324619293
724,24133092,24166425,799992,833325,10993,10993,1.9499518654111696,True,8335,10993,1.2998683416297352,0.04970463484101973,0.04970463484101973,0.012502693868121069,0.20855834327601894,-0.9779300077683215,0.024379651230834933,0.4066787305185943,-1.9069164428915464,1.5341662923982649,1.3993580341339111,34.21297876869354,29.854434967041016,0.19482630398124456
725,24166425,24199758,833325,866658,11317,11317,1.898762966411941,True,9496,11317,4.931807563254421,0.050770453642639664,0.050770453642639664,0.18925526753902194,-0.030792338669573403,-0.9814449936631534,0.35935089320175273,-0.05846735231504487,-1.8635314075394183,1.4967888572058332,1.3742417097091675,23.54479889862527,16.772266387939453,0.2198206391185522
726,24199758,24233091,866658,899991,10882,10881,1.143780365846503,True,9699,10881,9.364976440262128,0.0501059816363049,0.0501059816363049,0.19239071171951355,0.1687338162642285,-0.966703011938687,0.22005271863619472,0.19299442609753412,-1.1056959246610543,1.685983060460094,1.4284234046936035,17.77812002669493,13.92829704284668,0.2270552096888423
727,24233091,24266424,899991,933324,11792,11791,1.418893322887813,True,8861,11791,3.933412140959563,0.04115193432333791,0.04115193432333791,0.21670464151890126,0.18197605973249148,-0.959126588113246,0.3074807688903728,0.25820461608020745,-1.360898311679854,1.8707495539336758,1.4764679670333862,21.467534132701793,19.36355972290039,0.22984699672088027
728,24266424,24299757,933324,966657,12278,12278,1.0418771773796294,True,10150,12278,5.88060918835129,0.046336337099725,0.046336337099725,0.29690581097110835,0.25591868990142613,-0.9199742189690465,0.3093393882826551,0.266635842273593,-0.9585001425229462,1.8783201503627966,1.4855372905731201,19.52146271615371,16.942298889160156,0.2590227071195841
729,24299757,24333090,966657,999990,11428,11428,1.8141074683369192,True,9912,11428,5.1403505054354355,0.05283949005055227,0.05283949005055227,0.35077130754982944,0.20628388910587384,-0.9134585085778337,0.6363368487050558,0.37422114382490573,-1.6571119024285246,1.300490175123052,1.1677259802818298,25.843360436058646,24.73874568939209,0.19581859605386853
730,24333090,24366423,999990,1033323,12452,12452,2.947361657551338,True,10430,12452,1.266769444214845,0.055359822947943345,0.055359822947943345,0.26891386182454274,0.23822061250719587,-0.9332396662665283,0.7925864055265267,0.7021222993428221,-2.7505948096627866,1.3071528205607228,1.2211657762527466,39.35309903888966,40.38046646118164,0.20037341304123402
731,24366423,24399756,1033323,1066656,11556,11556,1.8850836467317706,True,7773,11556,2.186274491925069,0.042981631540556293,0.042981631540556293,0.47202283402293377,0.24093548019082558,-0.8480239021053433,0.8898025253024865,0.45418353362614594,-1.5985959898998048,1.5682009590624502,1.378871202468872,35.54675399180142,34.21059226989746,0.19544437108561397
732,24399756,24433089,1066656,1099989,11321,11321,1.270992135500009,True,9804,11321,4.965583861710557,0.05097542782531951,0.05097542782531951,0.3119808194701401,0.27671461893826665,-0.9088987776129622,0.39652516797384274,0.3517021044488149,-1.1552031983129476,1.4962114913397273,1.3558131456375122,25.280086481616475,22.00973129272461,0.24764050403609872
733,24433089,24466422,1099989,1133322,10910,10910,1.749332609303787,True,6318,10910,0.6670393649674052,0.04075884931188032,0.04075884931188032,-0.17673703779491592,0.10280861476367577,-0.978874051243572,-0.3091718634869974,0.17984646232379492,-1.7123762982449826,1.7890432333570285,1.4764803051948547,35.802956372723465,32.0552864074707,0.21392951207235456
734,24466422,24499755,1133322,1166655,10602,10602,1.5172583264026247,True,7684,10602,2.355950050090568,0.03571334910237716,0.03571334910237716,0.18426076678365932,0.03425896535700813,-0.9822801500157833,0.27957118263210984,0.05197970044190995,-1.490372736472909,1.96094222915128,1.6700589656829834,21.970607171798964,18.36186981201172,0.31241602916270494
735,24499755,24533088,1166655,1199988,10325,10325,0.8385685494038961,True,4913,10325,1.403829003513808,0.032574635804178825,0.032574635804178825,-0.33994534373371854,0.16428100045587307,-0.925985375779357,-0.285067473772212,0.13776088024729796,-0.7765022133387472,2.2170545664839176,2.000673294067383,33.58812496979647,29.058515548706055,0.35367762483656406
736,24533088,24566421,1199988,1233321,12432,12432,3.15928195748284,True,10239,12432,0.6976138372780698,0.04938590642808571,0.04938590642808571,-0.4653885859971974,-0.11355665797999535,0.8777917460590349,-1.4702937629612893,-0.35875750070871093,2.7731916257552376,1.6240338360150377,1.4128575325012207,50.96845136201213,50.58430099487305,0.2607409688644111
737,24566421,24599754,1233321,1266654,12094,12094,2.1699142936472398,True,11188,12094,1.468901828957319,0.057075053518286616,0.057075053518286616,-0.6576476223653986,0.19995579033270192,0.7263038528791675,-1.427038975955541,0.4338869275409896,1.5760171118954895,1.5097203316062922,1.3412379026412964,45.0173090899584,41.83791732788086,0.2962518557906151
738,24599754,24633087,1266654,1299987,12851,12851,3.421914291504611,True,10704,12851,0.7096708227655549,0.050236224673588424,0.050236224673588424,-0.4696634784533152,0.1291886750692817,0.8733421455753767,-1.6071481691193958,0.44207257352073354,2.988501969321826,1.6178914470544001,1.4166374206542969,48.059412454206296,45.53753662109375,0.2422648840583861
739,24633087,24666420,1299987,1333320,10672,10672,1.048416792705567,True,4320,10672,1.4332370567014874,0.03035490586293958,0.03035490586293958,-0.6116588491075534,-0.32438456348039413,-0.721559496698322,-0.6412734088140518,-0.34009022364875924,-0.7564950932779212,2.247437798566029,1.9313944578170776,38.710663476984,33.28556823730469,0.43472076393663883
740,24666420,24699753,1333320,1366653,11377,11377,2.059042713977805,True,7462,11377,0.8297534465189077,0.04143147374061949,0.04143147374061949,-0.5457277993270976,0.2411205903264438,0.8025222924981725,-1.123676849022809,0.49647759470310837,1.6524276791778432,1.7840232930872748,1.476839542388916,41.70737897724219,39.18254470825195,0.2508243094198406
741,24699753,24733086,1366653,1399986,10391,10391,0.4295835516611142,True,9343,10391,8.994337694849335,0.04192446025147449,0.04192446025147449,-0.40031884992942,-0.7301664309212368,0.5537163547716406,-0.17197039335003164,-0.3136674886997014,0.23786743829628154,2.205266286680044,1.9308010339736938,22.465980915898893,18.492013931274414,0.41800247645005584
742,24733086,24766419,1399986,1433319,10573,10573,1.3648507283866833,True,9762,10573,1.5753555526662752,0.04765578872353027,0.04765578872353027,0.25683548530881173,-0.5977409021575723,-0.7594348868538296,0.35054209919986606,-0.8158271056976422,-1.0365152584864439,1.9323106812727022,1.5224251747131348,37.31525702148628,32.80675506591797,0.2918219668790698
743,24766419,24799752,1433319,1466652,11742,11741,2.313564437160946,True,9539,11741,0.7851568927045725,0.047272331293689254,0.047272331293689254,0.25022483830054465,-0.6005140016263073,-0.7594540566379504,0.578911287187758,-1.3893278381828822,-1.7570458970990306,1.7549862694155072,1.471187710762024,50.17218202773376,49.336883544921875,0.2686734148301184
744,24799752,24833085,1466652,1499985,11384,11384,4.783105338338198,True,9599,11384,0.3337766496426827,0.04280400708420488,0.04280400708420488,0.18248153371071296,-0.14545621262713823,-0.9723903434634916,0.8728283980405982,-0.6957323871119149,-4.651045442772712,1.7713788530101868,1.4920213222503662,51.79863771601454,54.56859016418457,0.2821507630869746
745,24833085,24866418,1499985,1533318,11023,11023,3.0193453464933993,True,8564,11023,0.8673323408091861,0.039902163782839256,0.039902163782839256,0.24682343095197248,-0.04762491697907854,-0.9678894881204024,0.7452451776510655,-0.14379607145804887,-2.9223926218789305,1.7473419505945145,1.4811197519302368,35.69775319629341,34.68913269042969,0.26615689415484667
746,24866418,24899751,1533318,1566651,10266,10266,2.606841284552304,True,6748,10266,0.33399529960325186,0.038477871816295646,0.038477871816295646,-0.18627612452844086,-0.16651594475906684,-0.968283866213089,-0.4855922917478967,-0.4340806393348376,-2.524162357614104,2.070159070706512,1.656371533870697,41.3887933589505,42.05252456665039,0.283915585372597
747,24899751,24933084,1566651,1599984,10767,10767,3.2619900653627485,True,6120,10767,0.06414265503564862,0.03684388060237508,0.03684388060237508,-0.121965694480914,0.1453354447679496,0.9818360239142686,-0.39785088371342303,0.4740827769800505,3.202739355836594,2.016211427095966,1.6156566143035889,57.289888249274426,60.244747161865234,0.3030512258410454
