sequence,dynamic_iou_t0,background_iou_t0,miou_t0,piou_t0,sr50_t0,dynamic_iou_t1,background_iou_t1,miou_t1,piou_t1,sr50_t1
box_seq_00,25.029684256675633,99.51643356636389,75.7005781824909,30.5319570524748,34.883720930232556,20.84844493203693,99.50569307626184,73.17210071122469,21.203366125171836,28.888888888888886
box_seq_01,51.83236316376685,98.236462722222,79.47845075811658,54.012094240764796,70.07299270072993,50.21288495230745,98.20352540839285,78.65348327017966,48.09178212232402,66.66666666666666
box_seq_02,65.98239973827731,97.5208668038249,81.75163362175226,71.98932078463258,89.0625,62.6919781556353,97.24360443651676,79.96779107488692,64.59860772883985,85.9375
box_seq_03,75.07636258188559,98.2313045129484,86.65383379070126,80.24492893291979,100.0,74.29034132130292,98.18088804580727,86.23561460752876,78.24223491610313,99.48979591836735
box_seq_04,68.87676113743395,95.59562226373052,82.23619168949506,72.87518619190134,92.85714285714286,64.89607512004791,94.7843747479575,79.84022489852376,68.11503218930393,89.28571428571429
box_seq_05,29.650712776261624,93.54373204410608,62.60042080054734,33.274883601258324,22.568807339449542,25.129128412348457,92.94245686123078,59.970010272534346,25.75029904552012,18.647166361974406
test/total,52.74138060905016,97.10740365219928,78.07018480718389,57.15472846732528,68.24086063792582,49.6781421489465,96.81009042936117,76.30653747247969,51.00022035454381,64.81928868693527
