metric_set,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe,dso_run_seconds,dso_ms_per_input_frame
snapshots,active,340614,340614,1.0,4.222876317624604,1.1941673227719103,1.1941673227719107,30.251101214998926,49.42990394607668
snapshots,active_nonfinal,340614,340614,1.0,4.222876317624604,1.1941673227719103,1.1941673227719107,30.251101214998926,49.42990394607668
snapshots,all,1570588,1570588,1.0,8.429565222276471,3.677785560155249,3.6777855601552503,30.251101214998926,49.42990394607668
snapshots,all_final,125009,125009,1.0,3.994890587197388,1.1015588897223898,1.1015588897223898,30.251101214998926,49.42990394607668
snapshots,all_nonfinal,1445579,1445579,1.0,8.70760030340061,3.900569316590553,3.900569316590552,30.251101214998926,49.42990394607668
snapshots,immature,734935,734935,1.0,11.234325248919554,6.284660503843648,6.284660503843648,30.251101214998926,49.42990394607668
snapshots,immature_final,4744,4744,1.0,1.1946784651725042,0.18489289795728872,0.1848928979572886,30.251101214998926,49.42990394607668
snapshots,immature_nonfinal,730191,730191,1.0,11.270349107002158,6.3242902685522076,6.3242902685522076,30.251101214998926,49.42990394607668
snapshots,marginalized,389717,389717,1.0,4.476117878659508,1.2681825539310618,1.2681825539310618,30.251101214998926,49.42990394607668
snapshots,marginalized_final,101115,101115,1.0,3.595354556252309,0.9782755728055961,0.9782755728055961,30.251101214998926,49.42990394607668
snapshots,marginalized_nonfinal,288602,288602,1.0,4.746195356861452,1.3697547689417386,1.3697547689417393,30.251101214998926,49.42990394607668
snapshots,outlier,105322,105322,1.0,6.8650319983515296,2.435260355027517,2.4352603550275176,30.251101214998926,49.42990394607668
snapshots,outlier_final,19150,19150,1.0,5.9641925796457445,1.9795983703999906,1.9795983703999906,30.251101214998926,49.42990394607668
snapshots,outlier_nonfinal,86172,86172,1.0,7.049609336425686,2.53652209904665,2.53652209904665,30.251101214998926,49.42990394607668
latest_unique,active_latest_unique,117712,117712,1.0,4.138930857096778,1.1623874278905661,1.1623874278905661,30.251101214998926,49.42990394607668
latest_unique,active_nonfinal_latest_unique,117712,117712,1.0,4.138930857096778,1.1623874278905661,1.1623874278905661,30.251101214998926,49.42990394607668
latest_unique,all_latest_unique,354738,354738,1.0,9.545077931635367,4.633606936802869,4.6336069368028685,30.251101214998926,49.42990394607668
latest_unique,all_final_latest_unique,125009,125009,1.0,3.994890587197388,1.1015588897223898,1.1015588897223898,30.251101214998926,49.42990394607668
latest_unique,all_nonfinal_latest_unique,354738,354738,1.0,9.545077931635367,4.633606936802869,4.6336069368028685,30.251101214998926,49.42990394607668
latest_unique,immature_latest_unique,243096,243096,1.0,11.151518402698336,6.190626306186656,6.190626306186657,30.251101214998926,49.42990394607668
latest_unique,immature_final_latest_unique,4744,4744,1.0,1.1946784651725042,0.18489289795728872,0.1848928979572886,30.251101214998926,49.42990394607668
latest_unique,immature_nonfinal_latest_unique,243096,243096,1.0,11.151518402698336,6.190626306186656,6.190626306186657,30.251101214998926,49.42990394607668
latest_unique,marginalized_latest_unique,102084,102084,1.0,3.5900226777567354,0.9786461938768403,0.9786461938768399,30.251101214998926,49.42990394607668
latest_unique,marginalized_final_latest_unique,101115,101115,1.0,3.595354556252309,0.9782755728055961,0.9782755728055961,30.251101214998926,49.42990394607668
latest_unique,marginalized_nonfinal_latest_unique,102084,102084,1.0,3.5900226777567354,0.9786461938768403,0.9786461938768399,30.251101214998926,49.42990394607668
latest_unique,outlier_latest_unique,19433,19433,1.0,6.1474989212247015,2.0117738485091174,2.011773848509117,30.251101214998926,49.42990394607668
latest_unique,outlier_final_latest_unique,19150,19150,1.0,5.9641925796457445,1.9795983703999906,1.9795983703999906,30.251101214998926,49.42990394607668
latest_unique,outlier_nonfinal_latest_unique,19433,19433,1.0,6.1474989212247015,2.0117738485091174,2.011773848509117,30.251101214998926,49.42990394607668
