metric_set,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe,dso_run_seconds,dso_ms_per_input_frame
snapshots,active,40989,40989,1.0,1.2210166868553094,0.21122836243021254,0.2112283624302126,4.688872445000015,7.661556282679764
snapshots,active_nonfinal,40989,40989,1.0,1.2210166868553094,0.21122836243021254,0.2112283624302126,4.688872445000015,7.661556282679764
snapshots,all,194849,194849,1.0,1.797761407745617,0.3093926239871756,0.30939262398717543,4.688872445000015,7.661556282679764
snapshots,all_final,16723,16723,1.0,1.0837850114063359,0.1977772721146953,0.19777727211469542,4.688872445000015,7.661556282679764
snapshots,all_nonfinal,178126,178126,1.0,1.85070170663353,0.3198714060255303,0.3198714060255304,4.688872445000015,7.661556282679764
snapshots,immature,100540,100540,1.0,2.1532767660605194,0.3922246618230311,0.3922246618230315,4.688872445000015,7.661556282679764
snapshots,immature_final,4015,4015,1.0,0.22005701696750907,0.12231309182898181,0.12231309182898167,4.688872445000015,7.661556282679764
snapshots,immature_nonfinal,96525,96525,1.0,2.19714542698049,0.4034517527686533,0.4034517527686537,4.688872445000015,7.661556282679764
snapshots,marginalized,41958,41958,1.0,0.30023921127917136,0.11587404072976196,0.11587404072976205,4.688872445000015,7.661556282679764
snapshots,marginalized_final,11200,11200,1.0,0.37634755060083275,0.12492880127963288,0.12492880127963284,4.688872445000015,7.661556282679764
snapshots,marginalized_nonfinal,30758,30758,1.0,0.26719461500162545,0.11257690443486215,0.11257690443486212,4.688872445000015,7.661556282679764
snapshots,outlier,11362,11362,1.0,2.947131666931085,0.6451939397111996,0.6451939397111994,4.688872445000015,7.661556282679764
snapshots,outlier_final,1508,1508,1.0,3.441622015914935,0.9397478007617982,0.9397478007617985,4.688872445000015,7.661556282679764
snapshots,outlier_nonfinal,9854,9854,1.0,2.8639348129994024,0.6001170955398706,0.6001170955398706,4.688872445000015,7.661556282679764
latest_unique,active_latest_unique,14415,14415,1.0,1.3752648671180112,0.2416933447402937,0.24169334474029364,4.688872445000015,7.661556282679764
latest_unique,active_nonfinal_latest_unique,14415,14415,1.0,1.3752648671180112,0.2416933447402937,0.24169334474029364,4.688872445000015,7.661556282679764
latest_unique,all_latest_unique,39943,39943,1.0,2.934222756175888,0.627756324389582,0.6277563243895818,4.688872445000015,7.661556282679764
latest_unique,all_final_latest_unique,16723,16723,1.0,1.0837850114063359,0.1977772721146953,0.19777727211469542,4.688872445000015,7.661556282679764
latest_unique,all_nonfinal_latest_unique,39943,39943,1.0,2.934222756175888,0.627756324389582,0.6277563243895818,4.688872445000015,7.661556282679764
latest_unique,immature_latest_unique,29355,29355,1.0,3.284833006285616,0.7499404619542274,0.7499404619542276,4.688872445000015,7.661556282679764
latest_unique,immature_final_latest_unique,4015,4015,1.0,0.22005701696750907,0.12231309182898181,0.12231309182898167,4.688872445000015,7.661556282679764
latest_unique,immature_nonfinal_latest_unique,29355,29355,1.0,3.284833006285616,0.7499404619542274,0.7499404619542276,4.688872445000015,7.661556282679764
latest_unique,marginalized_latest_unique,12776,12776,1.0,0.3585070744185069,0.1228571837492783,0.12285718374927837,4.688872445000015,7.661556282679764
latest_unique,marginalized_final_latest_unique,11200,11200,1.0,0.37634755060083275,0.12492880127963288,0.12492880127963284,4.688872445000015,7.661556282679764
latest_unique,marginalized_nonfinal_latest_unique,12776,12776,1.0,0.3585070744185069,0.1228571837492783,0.12285718374927837,4.688872445000015,7.661556282679764
latest_unique,outlier_latest_unique,1997,1997,1.0,3.373917471774241,0.8774984225453231,0.8774984225453233,4.688872445000015,7.661556282679764
latest_unique,outlier_final_latest_unique,1508,1508,1.0,3.441622015914935,0.9397478007617982,0.9397478007617985,4.688872445000015,7.661556282679764
latest_unique,outlier_nonfinal_latest_unique,1997,1997,1.0,3.373917471774241,0.8774984225453231,0.8774984225453233,4.688872445000015,7.661556282679764
