method,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe,seconds,ms_per_pair,pairs_per_second,ms_per_valid_point
baseline,17843,17843,1,11.2948320138,6.60348851152,6.60994457438,8.161711033,13.3579558642,74.8617535624,0.457418092978
affine,17843,17843,1,11.3419599349,6.65960130142,6.66578056638,21.826079427,35.7218975892,27.9940335617,1.22322924547
patch,17843,17843,1,11.2387689311,5.56635494928,5.62162766952,35.145814742,57.5217917218,17.3847157758,1.96972564827
patch_affine,17843,17843,1,11.2169886676,5.57137417058,5.62486562502,48.438742199,79.277810473,12.6138700607,2.71471962108
raft_small,17843,17843,1,2.63396760515,0.757183242377,0.757183242575,43.197422147,70.6995452488,14.1443625483,2.42097305089
