host_id,target_id,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe
41,42,immature_final,321,321,1.0,0.30036577348366494,0.09610643952599426,0.09610643952599429
41,42,immature_nonfinal,3596,3596,1.0,0.49258517555543463,0.13200416162571446,0.1320041616257145
41,42,marginalized,515,515,1.0,0.29269581269221223,0.09904720212956952,0.09904720212956955
41,42,marginalized_final,252,252,1.0,0.2938290482171133,0.09787429067198612,0.09787429067198614
41,42,marginalized_nonfinal,263,263,1.0,0.29160584335483847,0.10017105645394603,0.10017105645394607
41,42,outlier,102,102,1.0,0.7318683360751195,0.2417404573216913,0.24174045732169144
41,42,outlier_final,47,47,1.0,0.761974853597296,0.25580310014873947,0.2558031001487396
41,42,outlier_nonfinal,55,55,1.0,0.7051230945335066,0.22972328981494106,0.22972328981494114
43,44,active,423,423,1.0,0.7343641182884282,0.17382117611569914,0.17382117611569922
43,44,active_nonfinal,423,423,1.0,0.7343641182884282,0.17382117611569914,0.17382117611569922
43,44,all,4873,4873,1.0,0.5666699827059112,0.1404708226898659,0.14047082268986608
43,44,all_final,609,609,1.0,0.3804837322423792,0.0982787765536936,0.09827877655369363
43,44,all_nonfinal,4264,4264,1.0,0.5884737798166869,0.14649684428858276,0.1464968442885829
43,44,immature,3711,3711,1.0,0.5602506758967979,0.13930458543310303,0.13930458543310306
43,44,immature_final,259,259,1.0,0.11017065353298715,0.057597081239304654,0.05759708123930463
43,44,immature_nonfinal,3452,3452,1.0,0.5801037014856028,0.14543501520894112,0.14543501520894117
43,44,marginalized,613,613,1.0,0.20837422960378368,0.09819613423862329,0.09819613423862335
43,44,marginalized_final,298,298,1.0,0.21093905694746964,0.09932481962848827,0.09932481962848833
43,44,marginalized_nonfinal,315,315,1.0,0.2059184168843258,0.09712836202852858,0.09712836202852865
43,44,outlier,126,126,1.0,1.0736554450064881,0.26852710031949656,0.26852710031949667
43,44,outlier_final,52,52,1.0,1.1747373405428787,0.2949102813640389,0.29491028136403896
43,44,outlier_nonfinal,74,74,1.0,0.9965096603644978,0.249987567693602,0.2499875676936021
45,46,active,1728,1728,1.0,0.30338840225935093,0.10571478037064196,0.10571478037064183
45,46,active_nonfinal,1728,1728,1.0,0.30338840225935093,0.10571478037064196,0.10571478037064183
45,46,all,9149,9149,1.0,0.5638693483145395,0.12500768064591863,0.12500768064591875
