frame,full_sequence_time_s,relative_time_s,v_cam_x,v_cam_y,v_cam_z,v_world_x,v_world_y,v_world_z,p_cam_x,p_cam_y,p_cam_z,p_world_x,p_world_y,p_world_z,omega_x_radps,omega_y_radps,omega_z_radps,roll_deg,pitch_deg,yaw_deg
700,23.3497665,0.0,0.07209054072427516,-0.23259672136187967,-0.8193747885947807,0.07209054072427516,-0.23259672136187967,-0.8193747885947807,0.0,0.0,0.0,0.0,0.0,0.0,0.005406974091918769,0.026414130808863477,-0.042815434501325335,0.0,-0.0,0.0
701,23.3830995,0.03333299999999895,-0.28680945997330204,-0.20337823602400462,3.4804694998496633,-0.2841059306653085,-0.20348756692388634,3.4806848381992834,-0.009560219729289774,-0.006779206741387931,0.11601448983848514,-0.009470102986866428,-0.00678285106827369,0.11602166771169303,0.003193914360702432,0.024977480969766958,-0.039074590547242764,0.008179671601090645,0.04908047287546777,-0.0781949331624501
702,23.4164325,0.0666659999999979,-0.7633984681796083,0.5822208097851886,3.0343739048113063,-0.7567877080452657,0.5832879254275187,3.0358245746037045,-0.035006580869119855,0.012627959511181149,0.21715927520755723,-0.03469610765913848,0.012659885350001178,0.2172148082569551,0.005534215035857498,0.02485679505469869,-0.03248092946140685,0.016427435034953128,0.09668290265483415,-0.14651457094295317
703,23.4497655,0.0999990000000004,-0.8918022597970994,0.34186380938711963,-0.20571258085577265,-0.8910158594028194,0.3453418986285981,-0.20329661092718404,-0.06473302559493879,0.024023305869482862,0.21030225774989125,-0.06439633930061488,0.024171166856989106,0.21043832232491877,0.006226909310818757,0.025325689556836298,-0.041504948360794665,0.02750962981934873,0.1446302578967954,-0.2171469489813687
704,23.4830985,0.13333199999999934,0.8682291139238543,0.33334442670622055,1.660227647215765,0.8755493765150731,0.3277203249828591,1.6575007751243713,-0.03579234454051588,0.03513467564488096,0.26564262591453264,-0.03521165193323887,0.0350950684496424,0.2656877956621377,0.004820847154090307,0.026141140728021477,-0.04172833795639572,0.03782468706981483,0.19382228504783375,-0.29660039795957954
705,23.5164315,0.1666649999999983,0.9768429921825227,-0.6184744033253199,-0.8921553617299434,0.9687990138275077,-0.624304103194394,-0.8968538710122691,-0.0032312370820968745,0.014519068358838724,0.23590441124198935,-0.002918674405327579,0.014285139777864322,0.23579296557968665,0.005578335479152268,0.028506142647942306,-0.053607683536658735,0.04740574639428741,0.24607378341442193,-0.3876005110440947
706,23.549764500000002,0.1999980000000008,-0.08714951140128402,0.6014516732636536,-3.0276333105459226,-0.09780413017090227,0.6054612121006085,-3.02650849800551,-0.006136191745636092,0.03456725698373759,0.13498431010155457,-0.006178779476314508,0.03446697836081542,0.13491035781566144,0.007765344354220129,0.027313306687675377,-0.05280804930256043,0.059664348559345985,0.2994718372373617,-0.4891703326287084
707,23.5830975,0.23333099999999973,0.2326092547243574,-0.04661451001084852,-1.331368846163742,0.22397772358764984,-0.047261551357923544,-1.332825310219641,0.0016173725420906677,0.033013455521546026,0.09060579235237995,0.0012870699840323878,0.032891609069401806,0.09048329175011152,0.005148174401824966,0.026364463718455376,-0.05228956197378747,0.07142650795229365,0.35084460905770304,-0.5894730627709757
708,23.6164305,0.2666639999999987,0.5386082188320162,-0.5768519273487429,-2.5039508533939414,0.5139042823068645,-0.5796227172274305,-2.5084988997390774,0.019570800300417694,0.013785250227230988,0.00714159855620234,0.01841704142616656,0.013571045036060473,0.006867497925111508,0.006563127191441265,0.02809423934599317,-0.06667462874877435,0.08186298662467782,0.4030002549661949,-0.7030071462301178
709,23.6497635,0.2999969999999976,0.36720868228932396,0.6679702694594126,-1.0685096819869515,0.36825519937549117,0.6644549471920186,-1.0703397446676306,0.03181096730716734,0.036050703219120885,-0.02847503467346759,0.030692091986949416,0.03571932179081133,-0.028810136783893492,0.0038533021201417007,0.02767983290179466,-0.05725535464127385,0.09092285868234408,0.4564384391979613,-0.8212732595261804
710,23.6830965,0.3333300000000001,0.44854432852364157,-0.6619558654544089,-2.149092510758612,0.41870117883031127,-0.6652414817060586,-2.154093613593107,0.046762295409847006,0.01398572835592742,-0.10011073533458978,0.04464865838090123,0.013544827481101617,-0.10061253920579791,0.0019469208739333788,0.027210586478968315,-0.05492289504557684,0.09555978073162773,0.5090286759856764,-0.9283128794094376
711,23.7164295,0.3666629999999991,-0.37118260030234573,-0.2163841777220658,-3.061920494126115,-0.4048652466796327,-0.20375417013727884,-3.058516653161772,0.03438966579396931,0.006772994559918029,-0.20217373116529236,0.03115328511332946,0.006753089727915916,-0.20256207480563604,0.004485571936351941,0.026810071740738545,-0.05172895866525921,0.10075229099395758,0.5607885002743177,-1.03007278757983
712,23.7497625,0.399995999999998,0.6324011733846815,-1.37763538480739,-1.6052382951076278,0.5879922286030687,-1.3865040685981647,-1.6144572117324447,0.05546949410640023,-0.03914772572186524,-0.25568113925611324,0.05075283006935493,-0.03946325039066524,-0.25637677704431194,0.0025517768019154576,0.026516741061844956,-0.05186959457923205,0.10646091897243921,0.6118901652577964,-1.1289140573206247
713,23.7830955,0.4333290000000005,-0.37654608550990193,-0.9704701953842407,1.6322238578554678,-0.3784501919474329,-0.9657134861765589,1.634603007346497,0.04291808343809773,-0.07149640874461058,-0.20127422140221285,0.038137949821170206,-0.0716533780253909,-0.20189055500042707,0.002707816866845261,0.027396594593071488,-0.053685491837729596,0.1103625411343249,0.6635637362305163,-1.2296193731149594
714,23.8164285,0.46666199999999947,-0.02097796179677256,0.05975163656915713,-0.07540627422756983,-0.020518418252680304,0.060395975607818016,-0.07501839634057021,0.04221882503752593,-0.06950470744285092,-0.20378773874104036,0.037454009385553634,-0.06964019897045556,-0.20439114320564722,0.0026804153782658945,0.028829702411807087,-0.055853791973949796,0.11424845967806284,0.7174602985789341,-1.3341227813726273
715,23.8497615,0.4999949999999984,0.20221220031951814,-0.38539888810369693,-1.7743822797957491,0.16855546226371002,-0.3860132417808022,-1.7777619033700014,0.04895916431077622,-0.08235120858001105,-0.2629332232734702,0.0430724686091897,-0.08250717835873464,-0.2636492807306776,0.005907701594491892,0.0300713113347031,-0.05719871228576133,0.12104582585679399,0.7739276284789507,-1.4419723019662247
716,23.883094500000002,0.5333280000000009,-0.6090192456941715,0.38305864551888247,-1.6752798131835507,-0.6225282670046764,0.4038243181446867,-1.6654084474530875,0.028658725794050873,-0.06958271474892919,-0.3187753252863217,0.022321733885121264,-0.06904650236201679,-0.31916234050963554,0.006519209751796677,0.027477685430789756,-0.049935300115913454,0.13148299231245086,0.8291076549565405,-1.5441653662558337
717,23.9164275,0.5666609999999999,-0.00640124455435423,1.1454459054915833,0.8206864210691713,0.038982222468443815,1.1427382297389517,0.8235552347542396,0.02844535310932059,-0.03140156638117944,-0.29141938481282387,0.02362112830666186,-0.030955608950129505,-0.29171077386957334,0.007646707454508681,0.025313928319782172,-0.0514492871015582,0.14356826468206707,0.8797516756515172,-1.6408690156630106
718,23.9497605,0.5999939999999988,-0.15011423988015288,1.0096502586094425,-2.290975897923655,-0.15614772052773654,1.0212997136400639,-2.28540221380936,0.023441595151395614,0.0022531056890480374,-0.36778448441831063,0.018416256338310982,0.003087374404633669,-0.36789008586247834,0.011996502750482876,0.02550258134092853,-0.057717495820408284,0.16068282826070496,0.9285540059659305,-1.744998325837619
719,23.9830935,0.6333269999999978,0.15551353127406667,0.8251245115187078,-2.4512355536567965,0.14048775231093885,0.8285650579056525,-2.4509822099921243,0.028625327689353913,0.029756981031500256,-0.44949151912835006,0.02309913458609136,0.03070593347980191,-0.4495886758681432,0.006211273212111172,0.02608987500601016,-0.050633363920185886,0.17635049617323606,0.9781247921144608,-1.8483336920849076
720,24.0164265,0.6666600000000003,0.2309931613581709,1.427272779293767,0.5335566931681113,0.2891923171962527,1.4164616889995758,0.5339964973694273,0.0363250227369064,0.07733226458370296,-0.43170647387497607,0.03273878209519478,0.07792085095922831,-0.43178897062132676,0.0081610990831268,0.029187644300850867,-0.06371374313672781,0.18816301967509041,1.0312574939009806,-1.9573743413155809
721,24.0497595,0.6999929999999992,0.17275692958924155,0.831608194957552,-0.32338384728964964,0.1964936936258447,0.82619980688705,-0.32369486680296494,0.04208352947090441,0.10505226054622216,-0.4424858276566816,0.03928850638482485,0.10546056912219348,-0.4425786916164697,0.005853683557162674,0.02560604179341449,-0.04426192968147331,0.19964586432861517,1.083929746248483,-2.0603223489191214
722,24.0830925,0.7333259999999981,0.02849673493662573,0.5378955156397792,-0.5640300273611513,0.03758756766702425,0.5389216268805781,-0.5625159342185084,0.04303341113654692,0.12298193176904235,-0.46128664055871027,0.04054141277786973,0.12342444371100322,-0.4613290352517746,0.005912416743593443,0.02591375796760933,-0.0464810128296718,0.2092080152926589,1.1334359031996157,-2.1468147154531683
723,24.116425500000002,0.7666590000000006,0.29198127581376193,0.4626035059872655,-0.8167816957499838,0.29307505869523737,0.4545957793391581,-0.8208758097712271,0.05276602300324778,0.13840189443411702,-0.4885124248231465,0.05031048370935881,0.1385774848237165,-0.488691288618881,0.005912861020639756,0.027851315299618574,-0.05400702077161176,0.21856228796172034,1.185135117627379,-2.2426000366910426
724,24.1497585,0.7999919999999996,0.024379651230834933,0.4066787305185943,-1.9069164428915464,0.00020690644241538533,0.41469546910561095,-1.9053450875139397,0.053578669917725176,0.15195771655849288,-0.5520756706140484,0.050317380521803845,0.15240052889541342,-0.5522021564209811,0.009287770779527913,0.02832102148849371,-0.06347414659222758,0.2307083574197533,1.239214651237937,-2.354599061165264
