method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,all,69,55,0.7971014492753623,2.1601364612579346,1.314237356185913,6.8154144287109375,2.192007064819336,1.3145009279251099,6.846280574798584,0.19939041137695312,13.537713999994594,4.512571333331532,0.24614025454535626
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,center,14,14,1.0,1.841970443725586,1.7799923419952393,2.385826826095581,1.8505275249481201,1.779992699623108,2.386784076690674,0.11176657676696777,0.0,0.0,0.0
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,middle,35,26,0.7428571428571429,1.2433505058288574,0.4632556140422821,2.604229211807251,1.2829153537750244,0.5778630971908569,2.6042332649230957,0.22269129753112793,0.0,0.0,0.0
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,border,20,15,0.75,4.046187400817871,3.11114764213562,9.078953742980957,4.08648157119751,3.11114764213562,9.083415985107422,0.24078437685966492,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,all,69,69,1.0,3.8788576126098633,1.7555394172668457,13.723586082458496,3.9093985557556152,1.7555738687515259,13.76602554321289,0.29001015424728394,39.24801800019395,13.082672666731318,0.5688118550752747
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,center,14,14,1.0,2.029726505279541,2.011718273162842,2.374215602874756,2.030825138092041,2.011718511581421,2.374476909637451,0.14638133347034454,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,middle,35,35,1.0,4.144387722015381,0.9594168663024902,14.895761489868164,4.177840709686279,1.0212717056274414,14.91235637664795,0.3386595547199249,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,border,20,20,1.0,4.708573341369629,3.1556215286254883,12.959834098815918,4.7546257972717285,3.157715320587158,12.9683256149292,0.30541402101516724,0.0,0.0,0.0
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,all,69,57,0.8260869565217391,2.1606709957122803,1.437865138053894,6.362573146820068,2.190916061401367,1.4386544227600098,6.423159122467041,0.2341819703578949,19.563429999948312,6.521143333316104,0.34321807017453176
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,center,14,14,1.0,1.8417556285858154,1.780542254447937,2.3838906288146973,1.8505059480667114,1.7805426120758057,2.3849406242370605,0.11329861730337143,0.0,0.0,0.0
