method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,8750,0.912503910731046,7.734045505523682,4.331850051879883,18.359384536743164,7.747967720031738,4.344118595123291,18.359907150268555,0.1760488897562027,0.0,0.0,0.0
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,4829,0.947048440870759,8.219464302062988,5.0509538650512695,19.636856079101562,8.235871315002441,5.096352577209473,19.6373233795166,0.18567980825901031,0.0,0.0,0.0
classical_nf,exposure,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,8.62677001953125,5.209830284118652,20.237506866455078,8.6594877243042,5.2456231117248535,20.250802993774414,0.3663681447505951,2709.162336997565,4.43398091161631,0.1692697492657023
classical_nf,exposure,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,7.6229095458984375,4.074722766876221,18.054794311523438,7.664004325866699,4.100543975830078,18.121055603027344,0.4075380265712738,0.0,0.0,0.0
classical_nf,exposure,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,8.788141250610352,5.265262603759766,20.52701187133789,8.822277069091797,5.297677040100098,20.54669189453125,0.36772066354751587,0.0,0.0,0.0
classical_nf,exposure,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,8.978979110717773,5.751316547393799,21.053728103637695,9.003511428833008,5.7579474449157715,21.06863784790039,0.3367930054664612,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,6.473720073699951,2.946404457092285,17.34825325012207,6.480284690856934,2.9528961181640625,17.34830093383789,0.14004315435886383,8597.87958100253,14.071816008187445,0.5045703979461579
classical_nf,response_exposure,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,5.392983436584473,2.436026096343994,13.882609367370605,5.401820182800293,2.445108413696289,13.885506629943848,0.1780250370502472,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,6.624090671539307,3.0325443744659424,17.578256607055664,6.630507946014404,3.0333869457244873,17.578699111938477,0.13635805249214172,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,6.910623073577881,3.4014368057250977,18.735408782958984,6.915930271148682,3.401895523071289,18.735763549804688,0.12145408987998962,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.60348653793335,3.0183305740356445,17.657766342163086,6.609942436218262,3.023930549621582,17.66071891784668,0.14917965233325958,9476.726650004934,15.510190916538352,0.5311173373314428
classical_nf,full_photometric,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.402283191680908,2.44157075881958,13.902534484863281,5.411107540130615,2.4579827785491943,13.90253734588623,0.18076442182064056,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.719559669494629,3.068502426147461,17.799821853637695,6.726007461547852,3.0745115280151367,17.800111770629883,0.14462007582187653,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.128445625305176,3.5908169746398926,19.235551834106445,7.133451461791992,3.5928831100463867,19.236669540405273,0.1382112205028534,0.0,0.0,0.0
